Method,dataset,seed,Train size,Number of features for test,kBET,ASW (true labels),ASW (predicted labels),ARI,NMI
scGPT,snrna,46,1359,2000,0.9513991163475699,0.49586755,0.5031096,0.2896260896397276,0.29666804284896553
scGPT,snrna,42,680,400,0.9602356406480118,0.4868389,0.5014041,0.28949197789151243,0.2980272668952314
scGPT,snrna,42,680,800,0.9572901325478645,0.4873673,0.5035562,0.29055560205103026,0.29864642655614776
scGPT,snrna,42,680,1200,0.9617083946980854,0.492234,0.50323814,0.288784536607271,0.29830058486322064
scGPT,snrna,42,680,1600,0.9602356406480118,0.49435505,0.5030865,0.29081688327978045,0.30074501306395
scGPT,snrna,42,680,2000,0.9587628865979382,0.49088585,0.5023312,0.2896344909484421,0.29970763969606734
scGPT,snrna,43,680,400,0.9617083946980854,0.48997182,0.50162214,0.29084721607515085,0.2977041751107139
scGPT,snrna,43,680,800,0.9617083946980854,0.4928893,0.5020749,0.29055083985244046,0.29789796739927904
scGPT,snrna,43,680,1200,0.9440353460972017,0.49270117,0.50077355,0.2905637384525808,0.2965445756166675
scGPT,snrna,43,680,1600,0.946980854197349,0.49318725,0.5016363,0.29010642129606656,0.2984310219747624
scGPT,snrna,43,680,2000,0.9705449189985272,0.4936911,0.50295943,0.28969372224528267,0.2978408141543221
scGPT,snrna,44,680,400,0.9558173784977909,0.49583086,0.5037043,0.2898522066396682,0.2983329060840998
scGPT,snrna,44,680,800,0.9455081001472754,0.4941118,0.50360787,0.2898024422142338,0.29832390898381983
scGPT,snrna,44,680,1200,0.946980854197349,0.49308965,0.502231,0.29039192324263746,0.298021450191188
scGPT,snrna,44,680,1600,0.946980854197349,0.49206936,0.5018254,0.290968258688367,0.30059152235451847
scGPT,snrna,44,680,2000,0.9705449189985272,0.48871952,0.5040575,0.29022817092433606,0.29859764395076793
scGPT,snrna,45,680,400,0.9602356406480118,0.48984742,0.5014706,0.29013055448170805,0.29660214527048034
scGPT,snrna,45,680,800,0.9705449189985272,0.49410638,0.50302947,0.29011761914897927,0.29821561526842616
scGPT,snrna,45,680,1200,0.9513991163475699,0.4968501,0.5027741,0.2893997354063273,0.29834965842706196
scGPT,snrna,45,680,1600,0.9690721649484536,0.49505624,0.50159395,0.28974012898167717,0.29757128775295816
scGPT,snrna,45,680,2000,0.9558173784977909,0.49548748,0.503429,0.28911885805358795,0.2978620950015641
scGPT,snrna,46,680,400,0.9528718703976435,0.49362648,0.50242305,0.2902085342914305,0.298313351490523
scGPT,snrna,46,680,800,0.9631811487481591,0.4963543,0.5029133,0.2903194215304448,0.29883256807217945
